🕘️更新时间,#genre#
青田电视台,http://192.168.1.234:8000/live/-866291461539958260
象山综合,http://192.168.1.234:8000/live/-3026511204068448093
萧山生活,http://192.168.1.234:8000/live/-4619610174840457639
缙云综合,http://192.168.1.234:8000/live/901396844747703117
绍兴电视台公共,http://192.168.1.234:8000/live/4920357122056424848
绍兴公共,http://192.168.1.234:8000/live/-7325775690518021087
湖州公共民生,http://192.168.1.234:8000/live/-4854244242718015321
海宁新闻综合,http://192.168.1.234:8000/live/-8169015628940341068
洞头综合,http://192.168.1.234:8000/live/486878631714237470
永嘉新闻综合,http://192.168.1.234:8000/live/-4131231997311374320
松阳综合,http://192.168.1.234:8000/live/8348758606775102518
文成综合,http://192.168.1.234:8000/live/-3093624949709587712
开化国家公园,http://192.168.1.234:8000/live/507218241267560612
庆元综合,http://192.168.1.234:8000/live/-896116003613719239
庆元综合,http://192.168.1.234:8000/live/4043975012363377248
嵊州新闻综合,http://192.168.1.234:8000/live/3489729875713264275
余姚综合,http://192.168.1.234:8000/live/-4612375162644071590
中国蓝新闻,http://192.168.1.234:8000/live/4178580648614924012
上虞新商都,http://192.168.1.234:8000/live/5711073385291299205

☘️北京频道,#genre#
北京新闻,http://192.168.1.234:8000/live/-5194257865636465593
北京生活,http://192.168.1.234:8000/live/-1970176232916621399
北京科教,http://192.168.1.234:8000/live/-2252625997661405439
北京青年,http://192.168.1.234:8000/live/-1612470800539629812

☘️上海频道,#genre#
上海新闻综合,http://192.168.1.234:8000/live/6446730067212272638
上海第一财经,http://192.168.1.234:8000/live/8315805750708364002
上海第一财经,http://192.168.1.234:8000/live/-7263104916375555927
上海都市,http://192.168.1.234:8000/live/6407241965947349389
新闻综合,http://192.168.1.234:8000/live/3703208369474893346
欢笑剧场,http://192.168.1.234:8000/live/-7714042340007316041
法治天地,http://192.168.1.234:8000/live/-914574127555040878
法治天地,http://192.168.1.234:8000/live/-3404982664715594967
法治天地,http://192.168.1.234:8000/live/-5297848332790727006
法治天地,http://192.168.1.234:8000/live/4898577970275907971
第一财经,http://192.168.1.234:8000/live/9019863690670640877
第一财经,http://192.168.1.234:8000/live/-5485663076732846117
都市剧场,http://192.168.1.234:8000/live/-9060433468310619556
都市剧场,http://192.168.1.234:8000/live/-1942969246656240094
都市剧场,http://192.168.1.234:8000/live/6562291599574543685
都市剧场,http://192.168.1.234:8000/live/-2286015011033858610
金山电视台,http://192.168.1.234:8000/live/5924243293002332009

☘️重庆频道,#genre#
璧山综合,http://192.168.1.234:8000/live/-6935178572939895791
璧山综合,http://192.168.1.234:8000/live/-426876547503482915
铜梁综合,http://192.168.1.234:8000/live/779819621103028527
铜梁综合,http://192.168.1.234:8000/live/-3151994454296563754
重庆汽摩,http://192.168.1.234:8000/live/-8361829187004616375
重庆汽摩,http://192.168.1.234:8000/live/-6499114055838220235
荣昌综合,http://192.168.1.234:8000/live/7925842509833575652
潼南综合,http://192.168.1.234:8000/live/-5295905041553666235
万州综合,http://192.168.1.234:8000/live/7409686393315386230
万州三峡移民,http://192.168.1.234:8000/live/1035442298570503713
万州三峡移民,http://192.168.1.234:8000/live/-6239256621898970324
万州三峡移民,http://192.168.1.234:8000/live/7686995893178370952
重庆新闻,http://192.168.1.234:8000/live/-6771676671196358622
重庆时尚购物,http://192.168.1.234:8000/live/4664984897651101613

☘️江苏频道,#genre#
东台综合,http://192.168.1.234:8000/live/7210883034452761292
句容党建,http://192.168.1.234:8000/live/-2687691074217571314
句容党建,http://192.168.1.234:8000/live/-618585982869971615
句容影院,http://192.168.1.234:8000/live/-2577076547779092532
句容新闻综合,http://192.168.1.234:8000/live/-8225726934781010563
句容新闻综合,http://192.168.1.234:8000/live/-4567222368076353888
句容生活,http://192.168.1.234:8000/live/-7849222495077911464
句容生活,http://192.168.1.234:8000/live/5025753278170037156
大丰公共,http://192.168.1.234:8000/live/-7016442562644252010
如东一套新闻综合,http://192.168.1.234:8000/live/-1090999222789413541
如东新闻综合,http://192.168.1.234:8000/live/-4475340259527926067
如东新闻综合,http://192.168.1.234:8000/live/893710897743415603
姜堰新闻综合,http://192.168.1.234:8000/live/3190701531071775414
姜堰新闻综合,http://192.168.1.234:8000/live/5022133615013048702
宜兴紫砂,http://192.168.1.234:8000/live/5930949012913545209
常熟民生,http://192.168.1.234:8000/live/-8760251858086379312
张家港民生,http://192.168.1.234:8000/live/3454549503652293969
无锡娱乐,http://192.168.1.234:8000/live/2397216481826672601
无锡新闻综合,http://192.168.1.234:8000/live/-2514184888493537433
无锡新闻综合,http://192.168.1.234:8000/live/5168269831291702050
无锡经济,http://192.168.1.234:8000/live/8715685552368125510
无锡经济,http://192.168.1.234:8000/live/7509671677069458565
无锡经济,http://192.168.1.234:8000/live/-1684200659811623684
无锡经济,http://192.168.1.234:8000/live/-452505152161386132
无锡经济,http://192.168.1.234:8000/live/-4878441340965979719
无锡经济,http://192.168.1.234:8000/live/-583370373481923182
无锡经济,http://192.168.1.234:8000/live/122993066877493232
无锡都市资讯,http://192.168.1.234:8000/live/8293429659180662020
无锡都市资讯,http://192.168.1.234:8000/live/-3776036079477271621
武进新闻,http://192.168.1.234:8000/live/-6758663872757801701
武进新闻,http://192.168.1.234:8000/live/-1653281360705419511
武进新闻,http://192.168.1.234:8000/live/1120483772931946411
武进新闻,http://192.168.1.234:8000/live/-5909240263641868361
武进生活,http://192.168.1.234:8000/live/-1458701305697883343
武进生活,http://192.168.1.234:8000/live/-6296046259771799731
武进生活,http://192.168.1.234:8000/live/-4734966423493878999
武进生活,http://192.168.1.234:8000/live/2428661488094837930
江宁电视台综合,http://192.168.1.234:8000/live/7935415567189667698
沛县新闻综合,http://192.168.1.234:8000/live/1635836315941247161
沛县新闻综合,http://192.168.1.234:8000/live/-6596580723894632812
沛县新闻综合,http://192.168.1.234:8000/live/7503665028366174329
沭阳综合,http://192.168.1.234:8000/live/-786658238042697733
沭阳综合,http://192.168.1.234:8000/live/-3024751911525633873
沭阳综合,http://192.168.1.234:8000/live/7349284558880126596
沭阳综合,http://192.168.1.234:8000/live/-3846460040274379170
泗阳综合,http://192.168.1.234:8000/live/-7081013775071266227
泗阳综合,http://192.168.1.234:8000/live/8115824065152117750
泗阳资讯,http://192.168.1.234:8000/live/4443376037229668693
泗阳资讯,http://192.168.1.234:8000/live/-520780238408846254
泗阳资讯,http://192.168.1.234:8000/live/-8545131088460391031
涟水电视台综合,http://192.168.1.234:8000/live/7126401513889538582
涟水电视台综合,http://192.168.1.234:8000/live/2587461740948187683
涟水电视台综合,http://192.168.1.234:8000/live/-2815260859849720357
涟水电视台综合,http://192.168.1.234:8000/live/6933728821145802946
涟水电视台综合,http://192.168.1.234:8000/live/-391539157302798022
涟水综合,http://192.168.1.234:8000/live/-7807604356752945550
淮安公共,http://192.168.1.234:8000/live/-710025313859099575
滨海新闻综合,http://192.168.1.234:8000/live/-1856369083997869336
盐都综合,http://192.168.1.234:8000/live/4529875923701435424
睢宁三农,http://192.168.1.234:8000/live/3033944448307549518
睢宁综合,http://192.168.1.234:8000/live/-4349414806939213858
睢宁综合,http://192.168.1.234:8000/live/-6809943900740479180
睢宁综合,http://192.168.1.234:8000/live/1277553439991494661
睢宁综合,http://192.168.1.234:8000/live/5481739576445250810
苏州社会经济,http://192.168.1.234:8000/live/7429948351704593490
贾汪旅游,http://192.168.1.234:8000/live/-7068191303533612323
赣榆新闻综合,http://192.168.1.234:8000/live/7359769343904746081
